Store Name,Store Type,Geometry,Latitude,Longitude,Address
Subway,healthy fast food,"38.82506511958431, -77.01803327063017",38.825065119584,-77.018033270630,"4555 Overlook Ave SW Bldg #222, Washington, DC 20375"
Subway,healthy fast food,"38.86905039054815, -77.01568107688703",38.869050390548,-77.015681076887,"300 5th Ave SW Unit 212, Washington, DC 20319"
Subway,healthy fast food,"38.84886599879207, -77.01224784956524",38.848865998792,-77.012247849565,"200 MacDill Blvd SE, Washington, DC 20032"
Chipotle,healthy fast food,"38.94641809129704, -77.07792162661649",38.946418091297,-77.077921626616,"4301 Wisconsin Ave NW Unit B, Washington, DC 20016"
Chipotle,healthy fast food,"38.92376001695134, -77.07121610404022",38.923760016951,-77.071216104040,"2338 Wisconsin Ave NW, Washington, DC 20007"
Chipotle,healthy fast food,"38.907598678264115, -77.06486463288671",38.907598678264,-77.064864632887,"3255 M St NW, Washington, DC 20007"
Chipotle,healthy fast food,"38.93063748680157, -77.0322489726703",38.930637486802,-77.032248972670,"3113 14th St NW, Washington, DC 20010"
Chipotle,healthy fast food,"38.921589803186414, -77.02152013660515",38.921589803186,-77.021520136605,"2301 Georgia Ave NW Unit A, Washington, DC 20001"
Chipotle,healthy fast food,"38.92494108622025, -77.05261766795726",38.924941086220,-77.052617667957,"2600 Connecticut Ave NW Ste 200, Washington, DC 20008"
Chipotle,healthy fast food,"38.93413405190546, -76.996441087532",38.934134051905,-76.996441087532,"625 Monroe St NE Ste A8, Washington, DC 20017"
Chipotle,healthy fast food,"38.923953084724715, -76.994131556401",38.923953084725,-76.994131556401,"2300 Washington Pl NE Ste 101S, Washington, DC 20018"
Chipotle,healthy fast food,"38.92195707521383, -76.9535233049629",38.921957075214,-76.953523304963,"2430 Market St NE, Washington, DC 20018"
Chipotle,healthy fast food,"38.912006680736674, -77.03188419150848",38.912006680737,-77.031884191508,"1508 14th St NW Ste 1, Washington, DC 20005"
Chipotle,healthy fast food,"38.909852804553516, -77.04230189088756",38.909852804554,-77.042301890888,"1300 Connecticut Ave NW #103, Washington, DC 20036"
Chipotle,healthy fast food,"38.90090266522716, -77.04676508705067",38.900902665227,-77.046765087051,"2000 Pennsylvania Ave NW Lbby 15, Washington, DC 20006"
Chipotle,healthy fast food,"38.90571183557681, -77.03406214474366",38.905711835577,-77.034062144744,"1010 Vermont Ave NW Ste 101, Washington, DC 20005"
Chipotle,healthy fast food,"38.89742917294328, -77.02650904391245",38.897429172943,-77.026509043912,"1001 Pennsylvania Ave NW, Washington, DC 20004"
Chipotle,healthy fast food,"38.901570625033216, -77.02187418658423",38.901570625033,-77.021874186584,"710 7th St NW, Washington, DC 20001"
Chipotle,healthy fast food,"38.905311083823015, -77.01929926584631",38.905311083823,-77.019299265846,"1045 5th St NW, Washington, DC 20001"
Chipotle,healthy fast food,"38.898915447450975, -77.0062476384855",38.898915447451,-77.006247638486,"40 Massachusetts Ave NE, Washington, DC 20002"
Chipotle,healthy fast food,"38.89803036627023, -77.0069771994699",38.898030366270,-77.006977199470,"50 Massachusetts Ave NE Spc L037, Washington, DC 20002"
Chipotle,healthy fast food,"38.88375064504262, -76.99487507234593",38.883750645043,-76.994875072346,"413 8th St SE, Washington, DC 20003"
Chipotle,healthy fast food,"38.87628814005672, -77.0064139354528",38.876288140057,-77.006413935453,"1255 First St SE, Washington, DC 20003"
Chipotle,healthy fast food,"38.87087973540494, -76.95875644448056",38.870879735405,-76.958756444481,"3240 Pennsylvania Ave. SE, Washington, DC 20020"
Chipotle,healthy fast food,"38.847077866090785, -76.98058962588406",38.847077866091,-76.980589625884,"1571 Alabama Ave SE, Washington, DC 20032"
